channel,counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,104
11,285
12,296
13,303
14,264
15,300
16,330
17,347
18,330
19,317
20,389
21,433
22,637
23,1012
24,1811
25,2821
26,3475
27,3105
28,2273
29,1489
30,1136
31,854
32,608
33,488
34,399
35,399
36,403
37,385
38,428
39,391
40,384
41,411
42,410
43,402
44,406
45,415
46,435
47,438
48,416
49,424
50,441
51,458
52,464
53,419
54,464
55,450
56,429
57,449
58,492
59,423
60,471
61,439
62,442
63,457
64,482
65,479
66,463
67,444
68,496
69,428
70,438
71,433
72,473
73,449
74,412
75,414
76,463
77,417
78,456
79,418
80,441
81,456
82,410
83,397
84,418
85,392
86,382
87,423
88,455
89,425
90,448
91,414
92,436
93,425
94,419
95,383
96,447
97,410
98,460
99,425
100,457
101,427
102,395
103,397
104,428
105,421
106,385
107,426
108,410
109,427
110,407
111,429
112,381
113,393
114,405
115,409
116,427
117,416
118,400
119,389
120,413
121,385
122,400
123,384
124,374
125,406
126,364
127,397
128,370
129,394
130,376
131,414
132,416
133,412
134,374
135,397
136,362
137,403
138,444
139,445
140,453
141,440
142,430
143,466
144,518
145,450
146,450
147,501
148,464
149,477
150,470
151,445
152,490
153,469
154,444
155,478
156,473
157,478
158,451
159,443
160,445
161,460
162,461
163,441
164,467
165,428
166,416
167,377
168,445
169,464
170,413
171,431
172,426
173,437
174,405
175,431
176,426
177,402
178,374
179,417
180,403
181,391
182,399
183,406
184,393
185,369
186,393
187,368
188,405
189,402
190,397
191,386
192,406
193,333
194,401
195,358
196,367
197,356
198,393
199,367
200,357
201,362
202,358
203,358
204,352
205,349
206,358
207,357
208,335
209,317
210,346
211,337
212,364
213,349
214,329
215,358
216,345
217,338
218,363
219,345
220,351
221,308
222,306
223,343
224,313
225,346
226,296
227,355
228,306
229,365
230,322
231,315
232,329
233,306
234,351
235,322
236,297
237,377
238,286
239,303
240,318
241,317
242,326
243,296
244,303
245,318
246,314
247,322
248,300
249,302
250,307
251,306
252,288
253,354
254,330
255,332
256,296
257,350
258,313
259,303
260,319
261,327
262,348
263,323
264,333
265,330
266,329
267,347
268,310
269,344
270,332
271,340
272,334
273,327
274,347
275,320
276,324
277,315
278,287
279,326
280,318
281,320
282,328
283,315
284,281
285,318
286,302
287,329
288,306
289,296
290,293
291,282
292,289
293,291
294,301
295,306
296,309
297,318
298,299
299,289
300,280
301,299
302,314
303,322
304,294
305,311
306,279
307,292
308,280
309,269
310,321
311,292
312,330
313,301
314,294
315,309
316,278
317,264
318,314
319,329
320,293
321,304
322,324
323,307
324,319
325,309
326,283
327,293
328,301
329,300
330,282
331,244
332,292
333,247
334,265
335,239
336,231
337,244
338,254
339,252
340,213
341,243
342,213
343,216
344,188
345,208
346,190
347,192
348,169
349,181
350,174
351,167
352,140
353,149
354,147
355,151
356,158
357,129
358,138
359,125
360,130
361,126
362,111
363,121
364,100
365,111
366,103
367,107
368,100
369,90
370,111
371,113
372,99
373,101
374,77
375,83
376,90
377,73
378,84
379,87
380,61
381,78
382,70
383,80
384,67
385,78
386,68
387,64
388,65
389,61
390,59
391,69
392,55
393,67
394,59
395,55
396,47
397,44
398,48
399,41
400,55
401,36
402,38
403,48
404,46
405,49
406,39
407,33
408,32
409,47
410,45
411,59
412,44
413,46
414,30
415,41
416,41
417,39
418,42
419,40
420,53
421,45
422,37
423,58
424,53
425,46
426,33
427,39
428,46
429,35
430,53
431,55
432,54
433,48
434,52
435,51
436,59
437,59
438,67
439,74
440,73
441,82
442,113
443,93
444,104
445,128
446,168
447,158
448,165
449,204
450,234
451,249
452,290
453,321
454,366
455,387
456,394
457,444
458,563
459,600
460,630
461,711
462,781
463,812
464,894
465,913
466,996
467,1153
468,1283
469,1300
470,1380
471,1395
472,1430
473,1489
474,1626
475,1683
476,1790
477,1759
478,1813
479,1836
480,1920
481,1929
482,1878
483,1943
484,1882
485,1843
486,1875
487,1843
488,1823
489,1734
490,1772
491,1715
492,1683
493,1572
494,1504
495,1434
496,1334
497,1260
498,1223
499,1077
500,1075
501,928
502,864
503,811
504,737
505,624
506,565
507,516
508,465
509,435
510,360
511,345
512,269
513,235
514,192
515,178
516,126
517,120
518,112
519,121
520,71
521,78
